angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.11,,,"(825, 373, 387, 387)",,,0.0,,,0.04,,,0.01,,,0.74,,,0.08,,,0.03,,
0.16,,,"(834, 394, 376, 376)",,,0.0,,,0.15,,,0.02,,,0.36,,,0.18,,,0.13,,
0.17,,,"(834, 394, 376, 376)",,,0.0,,,0.15,,,0.02,,,0.37,,,0.18,,,0.12,,
0.15,,,"(834, 394, 376, 376)",,,0.0,,,0.15,,,0.02,,,0.37,,,0.18,,,0.13,,
0.15,,,"(834, 394, 376, 376)",,,0.0,,,0.15,,,0.02,,,0.37,,,0.18,,,0.13,,
0.15,,,"(839, 396, 372, 372)",,,0.0,,,0.06,,,0.03,,,0.49,,,0.1,,,0.16,,
0.09,,,"(838, 392, 372, 372)",,,0.0,,,0.05,,,0.03,,,0.61,,,0.12,,,0.1,,
0.09,,,"(838, 392, 372, 372)",,,0.0,,,0.05,,,0.03,,,0.62,,,0.12,,,0.09,,
0.09,,,"(838, 392, 372, 372)",,,0.0,,,0.05,,,0.03,,,0.63,,,0.12,,,0.09,,
0.11,,,"(827, 365, 388, 388)",,,0.0,,,0.01,,,0.01,,,0.84,,,0.03,,,0.0,,
0.09,,,"(828, 365, 387, 387)",,,0.0,,,0.01,,,0.0,,,0.87,,,0.02,,,0.0,,
0.09,,,"(828, 365, 387, 387)",,,0.0,,,0.01,,,0.0,,,0.87,,,0.02,,,0.0,,
0.1,,,"(827, 365, 389, 389)",,,0.0,,,0.01,,,0.0,,,0.86,,,0.03,,,0.0,,
0.18,,,"(847, 389, 372, 372)",,,0.0,,,0.05,,,0.04,,,0.63,,,0.07,,,0.04,,
0.19,,,"(847, 389, 373, 373)",,,0.0,,,0.04,,,0.04,,,0.61,,,0.07,,,0.05,,
0.19,,,"(847, 389, 373, 373)",,,0.0,,,0.04,,,0.04,,,0.62,,,0.07,,,0.04,,
0.18,,,"(847, 389, 373, 373)",,,0.0,,,0.04,,,0.04,,,0.62,,,0.07,,,0.04,,
0.16,,,"(849, 392, 379, 379)",,,0.0,,,0.03,,,0.03,,,0.68,,,0.08,,,0.02,,
0.18,,,"(848, 392, 379, 379)",,,0.0,,,0.04,,,0.05,,,0.6,,,0.1,,,0.03,,
0.18,,,"(848, 392, 379, 379)",,,0.0,,,0.04,,,0.05,,,0.6,,,0.1,,,0.03,,
0.15,,,"(828, 380, 390, 390)",,,0.0,,,0.08,,,0.06,,,0.55,,,0.12,,,0.05,,
0.15,0.24,,"(828, 380, 389, 389)","(527, 715, 75, 75)",,0.0,0.05,,0.07,0.08,,0.06,0.28,,0.57,0.07,,0.11,0.23,,0.05,0.04,
0.15,0.24,,"(828, 380, 389, 389)","(527, 715, 75, 75)",,0.0,0.05,,0.07,0.08,,0.06,0.29,,0.57,0.07,,0.11,0.23,,0.05,0.04,
0.07,0.21,0.12,"(818, 367, 396, 396)","(528, 716, 73, 73)","(1559, 467, 81, 81)",0.0,0.07,0.0,0.01,0.08,0.27,0.02,0.28,0.02,0.81,0.08,0.35,0.08,0.25,0.17,0.01,0.04,0.07
0.07,0.21,0.12,"(818, 367, 396, 396)","(528, 716, 73, 73)","(1559, 467, 81, 81)",0.0,0.07,0.0,0.01,0.08,0.26,0.02,0.28,0.02,0.81,0.08,0.35,0.08,0.25,0.17,0.01,0.04,0.07
0.05,,,"(821, 376, 383, 383)",,,0.0,,,0.03,,,0.01,,,0.85,,,0.05,,,0.01,,
0.13,,,"(845, 409, 367, 367)",,,0.0,,,0.02,,,0.01,,,0.75,,,0.06,,,0.03,,
0.12,,,"(844, 408, 367, 367)",,,0.0,,,0.03,,,0.01,,,0.73,,,0.08,,,0.03,,
0.12,,,"(844, 408, 367, 367)",,,0.0,,,0.03,,,0.01,,,0.73,,,0.08,,,0.03,,
0.11,0.26,,"(810, 365, 401, 401)","(1557, 466, 84, 84)",,0.0,0.01,,0.04,0.26,,0.04,0.03,,0.72,0.24,,0.06,0.17,,0.03,0.05,
0.1,,,"(810, 364, 400, 400)",,,0.0,,,0.04,,,0.02,,,0.77,,,0.05,,,0.02,,
0.11,,,"(811, 366, 398, 398)",,,0.0,,,0.04,,,0.03,,,0.73,,,0.06,,,0.02,,
0.12,,,"(811, 364, 400, 400)",,,0.0,,,0.04,,,0.04,,,0.72,,,0.06,,,0.02,,
0.11,,,"(816, 383, 381, 381)",,,0.0,,,0.02,,,0.01,,,0.76,,,0.09,,,0.01,,
0.11,,,"(816, 383, 381, 381)",,,0.0,,,0.02,,,0.01,,,0.76,,,0.09,,,0.01,,
0.12,,,"(816, 383, 381, 381)",,,0.0,,,0.02,,,0.01,,,0.75,,,0.09,,,0.01,,
0.11,,,"(816, 383, 381, 381)",,,0.0,,,0.02,,,0.01,,,0.76,,,0.09,,,0.01,,
